URL,Title,Meta Description,Canonical,Index,H1 Count,First H1,Schema Types,OG Image,Critical Issues,High Issues,Medium Issues,Low Issues
"/","NeuroBreath | Evidence-Based Neurodiversity Support","Evidence-based tools and resources for ADHD, autism, dyslexia and anxiety, plus breathing and focus support for families, teachers and carers across the UK.","https://neurobreath.co.uk/","index",1,"Measured breathing. Measurable relief.","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/about","About NeuroBreath | Evidence-Based Neurodiversity Support","Learn how NeuroBreath delivers evidence-based neurodiversity support, our research foundations, and our commitment to inclusive wellbeing tools across the UK.","https://neurobreath.co.uk/about","index",1,"About NeuroBreath","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/about-us","About NeuroBreath | Our Story and Approach","About NeuroBreath: our story, evidence-led approach and the people behind our neurodiversity resources, breathing tools and learning support.","https://neurobreath.co.uk/about-us","index",1,"About NeuroBreath","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/adhd","ADHD Support Hub | NeuroBreath","Comprehensive ADHD support hub with focus tools, routines and evidence-based strategies for children, parents, teachers and carers in the UK.","https://neurobreath.co.uk/adhd","index",1,"ADHD HubEvidence-Based Support & Interactive Tools","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/anxiety","Anxiety Support Hub | NeuroBreath","Evidence-based anxiety tools including breathing, grounding, CBT prompts and progress tracking to help build calm and resilience.","https://neurobreath.co.uk/anxiety","index",1,"Anxiety — Calm the Body, Train the Mind","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/autism","Autism Support Hub | NeuroBreath","Evidence-based autism support with visual schedules, sensory strategies and practical tools for families, educators and autistic people.","https://neurobreath.co.uk/autism","index",1,"Autism Hub","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/autism/focus-garden","Autism Support Hub | NeuroBreath","Evidence-based autism support with visual schedules, sensory strategies and practical tools for families, educators and autistic people.","https://neurobreath.co.uk/autism","index",1,"🌱 Focus Garden – Autism Condition Hub","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/blog","Neurodiversity & Wellbeing Blog | NeuroBreath","Research-backed articles on neurodiversity and wellbeing, with practical strategies for ADHD, autism, anxiety, dyslexia and daily resilience.","https://neurobreath.co.uk/blog","index",1,"AI-Powered Neurodiversity & Wellbeing Hub","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/breathing","Breathing Exercises for Calm & Focus | NeuroBreath","Breathing exercises for calm, focus and sleep with step-by-step guides, timers and audio cues. Evidence-informed techniques for daily use.","https://neurobreath.co.uk/breathing","index",1,"Breathing Exercises","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
"/breathing/breath","Breathing Basics | NeuroBreath","How‑to guide to basic breathing technique, posture and pacing, with simple practice steps to build calm and body awareness.","https://neurobreath.co.uk/breathing/breath","index",1,"Breath (how‑to)","Organization; WebSite; WebPage; BreadcrumbList","https://neurobreath.co.uk/og-image.png","","","",""
